left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
DSS_tbl_NG_severity_z,repetition_per_utt_severity_z,360,-0.442028,0.018829,0.442028,0,46.049649,1.344020
DSS_tbl_NG_severity_z,DSS_tbl_WHQ_severity_z,360,0.439094,0.190241,0.439094,0,11.809449,0.954445
DSS_tbl_WHQ_severity_z,severity_core_composite,360,0.432461,0.273750,0.432461,0,18.741869,1.032044
Word_Errors_per_utt_severity_z,repetition_per_utt_severity_z,360,-0.428117,0.164208,0.428117,0,71.651835,1.528358
DSS_tbl_WHQ_severity_z,determiner_errors_per_word_severity_z,360,0.426957,0.094150,0.426957,0,71.726208,1.270240
MLU_Morphemes_severity_z,DSS_tbl_IP_severity_z,360,0.419970,0.320840,0.419970,0,17.311968,1.039685
repetition_per_utt_severity_z,severity_domain_composite,360,-0.417759,0.272293,0.417759,0,50.753291,1.059144
repetition_per_utt_severity_z,severity_core_composite,360,-0.413607,0.042207,0.413607,0,52.982069,1.336715
retracing_per_utt_severity_z,severity_morphosyntax_burden,360,-0.406833,0.008267,0.406833,0,50.671900,1.267656
IPSyn_Total_severity_z,DSS_tbl_IP_severity_z,351,0.403911,0.351215,0.403911,0,9.529299,0.976869
DSS_tbl_WHQ_severity_z,severity_morphosyntax_burden,360,0.400814,0.108686,0.400814,0,29.226581,1.142194
DSS_tbl_PP_severity_z,repetition_per_utt_severity_z,360,-0.398032,0.025335,0.398032,0,46.036669,1.369108
DSS_tbl_IP_severity_z,DSS_tbl_MV_severity_z,360,0.397852,0.345470,0.397852,0,42.550195,1.051178
retracing_per_utt_severity_z,severity_disruption,360,0.394305,0.648201,0.394305,0,15.354024,0.713286
bare_marking_errors_per_word_severity_z,rule_generalization_errors_per_word_severity_z,360,0.392260,0.322509,0.392260,0,34.300532,1.642088
MLU_Morphemes_severity_z,DSS_tbl_WHQ_severity_z,360,0.390055,0.171830,0.390055,0,14.663410,1.147360
bare_marking_errors_per_word_severity_z,pronoun_errors_per_word_severity_z,360,0.388638,0.289581,0.388638,0,34.372539,1.637731
DSS_tbl_PP_severity_z,DSS_tbl_WHQ_severity_z,360,0.388025,0.143770,0.388025,0,11.796469,1.083979
DSS_tbl_WHQ_severity_z,pronoun_errors_per_word_severity_z,360,0.385370,0.107543,0.385370,0,22.469148,0.976794
DSS_tbl_PP_severity_z,retracing_per_utt_severity_z,360,-0.385215,-0.010207,0.385215,0,33.241788,1.275932
DSS_tbl_WHQ_severity_z,Word_Errors_per_utt_severity_z,360,0.385064,0.077373,0.385064,0,37.411635,1.446605
retracing_per_utt_severity_z,severity_core_composite,360,-0.382651,-0.050194,0.382651,0,40.187188,1.282841
VOCD_D_optimum_average_severity_z,retracing_per_utt_severity_z,360,-0.382182,0.134608,0.382182,0,42.796244,1.159423
